@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2022/02/21 13:16:12:794',1,273.309357,316.610168,443.788239,1
2,'2022/02/21 13:16:12:868',1,315.192017,324.410248,490.505859,1
3,'2022/02/21 13:16:12:971',1,343.139923,371.171112,533.093811,1
4,'2022/02/21 13:16:13:069',1,322.981415,394.993683,563.120789,1
5,'2022/02/21 13:16:13:170',1,296.978119,380.032898,527.599304,1
6,'2022/02/21 13:16:13:269',1,280.944824,344.524323,480.554901,1
7,'2022/02/21 13:16:13:365',1,261.48996,307.483337,439.364319,1
8,'2022/02/21 13:16:13:464',1,247.002029,291.852692,414.482819,1
9,'2022/02/21 13:16:13:563',1,244.073761,280.845154,403.685516,1
10,'2022/02/21 13:16:13:662',1,241.132736,281.584808,407.82962,1
11,'2022/02/21 13:16:13:755',1,244.008194,287.975708,417.538025,1
12,'2022/02/21 13:16:13:868',1,248.243835,278.172607,410.902679,1
13,'2022/02/21 13:16:13:959',1,251.872986,283.346069,419.014313,1
14,'2022/02/21 13:16:14:090',1,268.128693,285.00174,431.431335,1
15,'2022/02/21 13:16:14:186',1,273.788239,289.043243,439.947723,1
16,'2022/02/21 13:16:14:284',1,290.594208,309.00647,471.009552,1
17,'2022/02/21 13:16:14:383',1,289.663605,314.057312,470.893829,1
18,'2022/02/21 13:16:14:482',1,309.491516,310.10321,481.42807,1
19,'2022/02/21 13:16:14:587',1,305.181915,327.038239,483.439758,1
20,'2022/02/21 13:16:14:681',1,311.636017,337.179474,493.802582,1
21,'2022/02/21 13:16:14:780',1,327.158997,348.173798,507.290833,1
22,'2022/02/21 13:16:14:879',1,333.204132,354.407959,520.407532,1
23,'2022/02/21 13:16:14:978',1,323.797791,357.0224,512.039063,1
24,'2022/02/21 13:16:15:077',1,315.65329,345.117371,500.404846,1
25,'2022/02/21 13:16:15:176',1,304.581696,325.301392,476.681244,1
